month,day,high_temp,low_temp,precipitation,bikes
April,Saturday,46,37,0,606
April,Sunday,62.1,41,0,2021
April,Monday,63,50,0.03,2470
April,Tuesday,51.1,46,1.18,723
April,Wednesday,63,46,0,2807
April,Thursday,48.9,41,0.73,461
April,Friday,48,43,0,1222
April,Saturday,55.9,39.9,0,1674
April,Sunday,66,45,0,2375
April,Monday,73.9,55,0,3324
April,Tuesday,80.1,62.1,0,3887
April,Wednesday,73.9,57.9,0.02,2565
April,Thursday,64,48.9,0,3353
April,Friday,64.9,48.9,0,2942
April,Saturday,64.9,52,0,2253
April,Sunday,84.9,62.1,0,2877
April,Monday,73.9,64,0,3152
April,Tuesday,66,50,0,3415
April,Wednesday,52,45,0,1965
April,Thursday,64.9,50,0.17,1567
April,Friday,53.1,48,0.29,1426
April,Saturday,55.9,52,0.11,1318
April,Sunday,64.9,46.9,0,2520
April,Monday,60.1,50,0,2544
April,Tuesday,54,50,0.91,611
April,Wednesday,59,54,0.34,1247
April,Thursday,68,59,0,2959
April,Friday,82.9,57.9,0,3679
April,Saturday,84,64,0.06,3315
April,Sunday,64,54,0,2225
May,Monday,72,50,0,3084
May,Tuesday,73.9,66.9,0,3423
May,Wednesday,64.9,57.9,0,3342
May,Thursday,63,50,0,3019
May,Friday,59,52,3.02,513
May,Saturday,64.9,57,0.18,1892
May,Sunday,54,48.9,0.01,3539
May,Monday,57,45,0,2886
May,Tuesday,61,48,0,2718
May,Wednesday,70,51.1,0,2810
May,Thursday,61,51.8,0,2657
May,Friday,62.1,51.1,0,2640
May,Saturday,51.1,45,1.31,151
May,Sunday,64.9,46,0.02,1452
May,Monday,66.9,55.9,0,2685
May,Tuesday,78.1,57.9,0,3666
May,Wednesday,90,66,0,3535
May,Thursday,91.9,75,0,3190
May,Friday,90,75.9,0,2952
May,Saturday,64,55.9,0.01,2161
May,Sunday,66.9,55,0,2612
May,Monday,61,54,0.59,768
May,Tuesday,68,57.9,0,3174
May,Wednesday,66.9,57,0.04,2969
May,Thursday,57.9,55.9,0.58,488
May,Friday,73,55.9,0.1,2590
May,Saturday,71.1,61,0,2609
May,Sunday,71.1,59,0,2640
May,Monday,57.9,55.9,0.13,836
May,Tuesday,59,55.9,0.06,2301
May,Wednesday,75,57.9,0.03,2689
June,Thursday,78.1,62.1,0,3468
June,Friday,73.9,60.1,0.01,3271
June,Saturday,72,55,0.01,2589
June,Sunday,68,60.1,0.09,1805
June,Monday,66.9,60.1,0.02,2171
June,Tuesday,55.9,53.1,0.06,1193
June,Wednesday,66.9,54,0,3211
June,Thursday,68,59,0,3253
June,Friday,80.1,59,0,3401
June,Saturday,84,68,0,3066
June,Sunday,90,73,0,2465
June,Monday,91.9,77,0,2854
June,Tuesday,93.9,78.1,0,2882
June,Wednesday,84,69.1,0.29,2596
June,Thursday,75,66,0,3510
June,Friday,68,66,0,2054
June,Saturday,73,66.9,1.39,1399
June,Sunday,84,72,0,2199
June,Monday,87.1,70,1.35,1648
June,Tuesday,82,72,0.03,3407
June,Wednesday,82,72,0,3304
June,Thursday,82,70,0,3368
June,Friday,82.9,75.9,0.04,2283
June,Saturday,82.9,71.1,1.29,2307
June,Sunday,82,69.1,0,2625
June,Monday,78.1,66,0,3386
June,Tuesday,75.9,61,0.18,3182
June,Wednesday,78.1,62.1,0,3766
June,Thursday,81,68,0,3356
June,Friday,88,73.9,0,2687
July,Saturday,84.9,72,0.23,1848
July,Sunday,87.1,73,0,2467
July,Monday,87.1,71.1,0.45,2714
July,Tuesday,82.9,70,0,2296
July,Wednesday,84.9,71.1,0,3170
July,Thursday,75,71.1,0,3065
July,Friday,79,68,1.78,1513
July,Saturday,82.9,70,0,2718
July,Sunday,81,69.1,0,3048
July,Monday,82.9,71.1,0,3506
July,Tuesday,84,75,0,2929
July,Wednesday,87.1,77,0,2860
July,Thursday,89.1,77,0,2563
July,Friday,69.1,64.9,0.35,907
July,Saturday,82.9,68,0,2853
July,Sunday,84.9,70,0,2917
July,Monday,84.9,73.9,0,3264
July,Tuesday,87.1,75.9,0,3507
July,Wednesday,91,77,0,3114
July,Thursday,93,78.1,0.01,2840
July,Friday,91,77,0,2751
July,Saturday,91,78.1,0.57,2301
July,Sunday,78.1,73,0.06,2321
July,Monday,69.1,63,0.74,1576
July,Tuesday,71.1,64,0,3191
July,Wednesday,75.9,66,0,3821
July,Thursday,77,66.9,0,3287
July,Friday,84.9,73,0,3123
July,Saturday,75.9,68,0,2074
July,Sunday,81,64.9,0,3331
July,Monday,88,66.9,0,3560
August,Tuesday,91,72,0,3492
August,Wednesday,86,69.1,0.09,2637
August,Thursday,86,70,0,3346
August,Friday,82.9,70,0.15,2400
August,Saturday,77,70,0.3,3409
August,Sunday,75.9,64,0,3130
August,Monday,71.1,64.9,0.76,804
August,Tuesday,77,66,0,3598
August,Wednesday,82.9,66,0,3893
August,Thursday,82.9,69.1,0,3423
August,Friday,81,70,0,3148
August,Saturday,75.9,64.9,0.11,4146
August,Sunday,82,71.1,0,3274
August,Monday,80.1,70,0,3291
August,Tuesday,73,69.1,0.45,2149
August,Wednesday,84.9,70,0,3685
August,Thursday,82,71.1,0,3637
August,Friday,81,73,0.88,1064
August,Saturday,84.9,73,0,4693
August,Sunday,81,70,0,2822
August,Monday,84.9,73,0,3088
August,Tuesday,88,75,0.3,2983
August,Wednesday,80.1,71.1,0,2994
August,Thursday,79,66,0,3688
August,Friday,78.1,64,0,3144
August,Saturday,77,62.1,0,2710
August,Sunday,77,63,0,2676
August,Monday,75,63,0,3332
August,Tuesday,68,62.1,0.1,1472
August,Wednesday,75.9,61,0.01,3468
August,Thursday,81,64,0,3279
September,Friday,70,55,0,2945
September,Saturday,66.9,54,0.53,1876
September,Sunday,69.1,60.1,0.74,1004
September,Monday,79,62.1,0,2866
September,Tuesday,84,70,0,3244
September,Wednesday,70,62.1,0.42,1232
September,Thursday,71.1,59,0.01,3249
September,Friday,70,59,0,3234
September,Saturday,69.1,55,0,2609
September,Sunday,72,57,0,4960
September,Monday,75.9,55,0,3657
September,Tuesday,78.1,61,0,3497
September,Wednesday,82,64.9,0.06,2994
September,Thursday,81,70,0.02,3013
September,Friday,81,66.9,0,3344
September,Saturday,82,70,0,2560
September,Sunday,80.1,70,0,2676
September,Monday,73,69.1,0,2673
September,Tuesday,78.1,69.1,0.22,2012
September,Wednesday,78.1,71.1,0,3296
September,Thursday,80.1,71.1,0,3317
September,Friday,82,66,0,3297
September,Saturday,86,68,0,2810
September,Sunday,90,69.1,0,2543
September,Monday,87.1,72,0,3276
September,Tuesday,82,69.1,0,3157
September,Wednesday,84.9,71.1,0,3216
September,Thursday,78.1,66,0,3421
September,Friday,66.9,55,0,2988
September,Saturday,64,55.9,0,1903
October,Sunday,66.9,50,0,2297
October,Monday,72,52,0,3387
October,Tuesday,70,57,0,3386
October,Wednesday,75,55.9,0,3412
October,Thursday,82,64.9,0,3312
October,Friday,81,69.1,0,2982
October,Saturday,80.1,66,0,2750
October,Sunday,77,72,0.22,1235
October,Monday,75.9,72,0.26,898
October,Tuesday,80.1,66,0,3922
October,Wednesday,75,64.9,0.06,2721
October,Thursday,63,55.9,0.07,2411
October,Friday,64.9,52,0,2839
October,Saturday,71.1,62.1,0.08,2021
October,Sunday,72,66,0,2169
October,Monday,60.1,52,0.01,2751
October,Tuesday,57.9,43,0,2869
October,Wednesday,71.1,50,0,3264
October,Thursday,70,55.9,0,3265
October,Friday,73,57.9,0,3169
October,Saturday,78.1,57,0,2538
October,Sunday,75.9,57,0,2744
October,Monday,73.9,64,0,3189
October,Tuesday,73,66.9,0.2,954
October,Wednesday,64.9,57.9,0,3367
October,Thursday,57,53.1,0,2565
October,Friday,62.1,48,0,3150
October,Saturday,68,55.9,0,2245
October,Sunday,64.9,61,3.03,183
October,Monday,55,46,0.25,1428
October,Tuesday,54,44,0,2727